_id,city,date,ad_count,avg_age,email_count,phone_count
6221455240741654807e1a66,FORT WORTH,2022-03-01,494,26.248987854251013,2,326
6221455240741654807e1a67,BINGHAMTON,2022-03-01,19,27.94736842105263,0,15
6221455240741654807e1a68,ELMIRA,2022-03-02,14,26.071428571428573,0,14
6221455240741654807e1a69,TUCSON,2022-02-26,76,27.68421052631579,0,48
6221455240741654807e1a6a,DAYTONA BEACH,2022-02-25,104,27.567307692307693,1,87
6221455240741654807e1a6b,COLCHESTER,2022-02-28,1,27.0,0,1
6221455240741654807e1a6c,COLUMBIA,2022-02-28,251,28.01593625498008,0,180
6221455240741654807e1a6d,KILLEEN,2022-03-01,114,26.412280701754387,0,83
6221455240741654807e1a6e,EAU CLAIRE,2022-02-26,22,27.454545454545453,0,15
6221455240741654807e1a6f,ANAHEIM,2022-02-28,377,27.124668435013263,0,229
6221455240741654807e1a70,YONKERS,2022-03-01,154,25.48051948051948,0,85
6221455240741654807e1a71,PROVIDENCE,2022-03-01,23,28.52173913043478,0,19
6221455240741654807e1a72,BELLINGHAM,2022-03-02,12,26.416666666666668,0,12
6221455240741654807e1a73,PHILADELPHIA,2022-02-28,726,26.670798898071624,0,466
6221455240741654807e1a74,ELKO,2022-02-26,9,26.333333333333332,0,7
6221455240741654807e1a75,SAGINAW,2022-02-27,3,24.333333333333332,0,3
6221455240741654807e1a76,WILLIAMSPORT,2022-02-27,20,26.5,0,17
6221455240741654807e1a77,PENSACOLA,2022-03-02,30,26.866666666666667,0,30
6221455240741654807e1a78,READING,2022-03-02,20,25.95,0,20
6221455240741654807e1a79,RALEIGH,2022-03-01,273,27.73992673992674,0,176
6221455240741654807e1a7a,DAVENPORT,2022-03-01,3,27.0,0,3
6221455240741654807e1a7b,CHAUTAUQUA,2022-02-27,10,28.5,0,10
6221455240741654807e1a7c,GLASGOW,2022-02-26,1,26.0,0,1
6221455240741654807e1a7d,SALEM,2022-03-02,8,25.25,0,8
6221455240741654807e1a7e,FORT WAYNE,2022-02-28,19,25.789473684210527,0,14
6221455240741654807e1a7f,BRAINERD,2022-02-25,9,26.666666666666668,0,6
6221455240741654807e1a80,INDIANAPOLIS,2022-02-25,337,28.118694362017806,1,215
6221455240741654807e1a81,BRANTFORD,2022-02-27,2,28.0,0,1
6221455240741654807e1a82,YONKERS,2022-02-28,163,25.34355828220859,0,89
6221455240741654807e1a83,SPRINGFIELD,2022-03-01,52,27.03846153846154,0,42
6221455240741654807e1a84,ITHACA,2022-03-02,5,25.4,0,5
6221455240741654807e1a85,SHOW LOW,2022-02-26,7,25.428571428571427,0,7
6221455240741654807e1a86,EAST STROUDSBURG,2022-02-28,18,27.77777777777778,0,15
6221455240741654807e1a87,VISALIA,2022-02-27,41,26.73170731707317,0,33
6221455240741654807e1a88,EL PASO,2022-03-01,71,26.91549295774648,0,52
6221455240741654807e1a89,BROCKTON,2022-03-02,23,27.347826086956523,0,23
6221455240741654807e1a8a,KIRKSVILLE,2022-02-28,14,27.857142857142858,0,10
6221455240741654807e1a8b,EL PASO,2022-02-27,77,27.07792207792208,0,60
6221455240741654807e1a8c,BOULDER,2022-02-28,16,27.4375,0,12
6221455240741654807e1a8d,BRIDGEPORT,2022-03-01,13,25.76923076923077,0,12
6221455240741654807e1a8e,PORTSMOUTH,2022-02-27,13,26.307692307692307,1,10
6221455240741654807e1a8f,JONESBORO,2022-03-02,6,25.833333333333332,0,6
6221455240741654807e1a90,SANTA CRUZ,2022-02-26,33,26.848484848484848,0,26
